Year,State,Company,"Residential Natural Gas Volume, Bundled (Mcf)","Commercial Natural Gas Volume, Bundled (Mcf)","Industrial Natural Gas Volume, Bundled (Mcf)","Electric Power Natural Gas Volume, Bundled (Mcf)","Vehicle Fuel Natural Gas Volume, Bundled (Mcf)","Other Natural Gas Volume, Bundled (Mcf)","Total End User Natural Gas Volume, Bundled (Mcf)","Residential Natural Gas Volume, Delivery Only (Mcf)","Commercial Natural Gas Volume, Delivery Only (Mcf)","Industrial Natural Gas Volume, Delivery Only (Mcf)","Electric Power Natural Gas Volume, Delivery Only (Mcf)","Vehicle Fuel Natural Gas Volume, Delivery Only (Mcf)","Other Natural Gas Volume, Delivery Only (Mcf)","Total End User Natural Gas Volume, Delivery Only (Mcf)",Residential Natural Gas Volume (Mcf),Commercial Natural Gas Volume (Mcf),Industrial Natural Gas Volume (Mcf),Electric Power Natural Gas Volume (Mcf),Vehicle Fuel Natural Gas Volume (Mcf),Other Natural Gas Volume (Mcf),Total End User Natural Gas Volume (Mcf),"Residential Natural Gas Revenue, Bundled ($000)","Commercial Natural Gas Revenue, Bundled ($000)","Industrial Natural Gas Revenue, Bundled ($000)","Electric Power Natural Gas Revenue, Bundled ($000)","Vehicle Fuel Natural Gas Revenue, Bundled ($000)","Other Natural Gas Revenue, Bundled ($000)","Total End User Natural Gas Revenue, Bundled ($000)","Residential Natural Gas Customers, Bundled (actual)","Commercial Natural Gas Customers, Bundled (actual)","Industrial Natural Gas Customers, Bundled (actual)","Electric Power Natural Gas Customers, Bundled (actual)","Vehicle Fuel Natural Gas Customers, Bundled (actual)","Other Natural Gas Customers, Bundled (actual)","Total End User Natural Gas Customers, Bundled (actual)","Residential Natural Gas Customers, Delivery Only (actual)","Commercial Natural Gas Customers, Delivery Only (actual)","Industrial Natural Gas Customers, Delivery Only (actual)","Electric Power Natural Gas Customer, Delivery Only (actual)","Vehicle Fuel Natural Gas Customers, Delivery Only (actual)","Other Natural Gas Customers, Delivery Only (actual)","Total End User Natural Gas Customer, Delivery Only (actual)",Residential Natural Gas Customers (actual),Commercial Natural Gas Customers (actual),Industrial Natural Gas Customers (actual),Electric Power Natural Gas Customers (actual),Vehicle Fuel Natural Gas Customers (actual),Other Natural Gas Customers (actual),Total End User Natural Gas Customers (actual)
2021,AK,Alaska Pipeline Company,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,AK,Alaska Pipeline Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,AK,Alaska Pipeline Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,AK,Alaska Pipeline Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,AK,Alaska Pipeline Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,MO,Albany City of MO,48576,21771,36384,0,0,0,106731,0,0,0,0,0,0,0,48576,21771,36384,0,0,0,106731,400,167,227,0,0,0,794,690,103,2,0,0,0,795,0,0,0,0,0,0,0,690,103,2,0,0,0,795
2020,MO,Albany City of MO,49429,21717,34911,0,0,0,106057,0,0,0,0,0,0,0,49429,21717,34911,0,0,0,106057,365,141,178,0,0,0,685,687,101,2,0,0,0,790,0,0,0,0,0,0,0,687,101,2,0,0,0,790
2019,MO,Albany City of MO,59911,37965,33771,0,0,0,131647,0,0,0,0,0,0,0,59911,37965,33771,0,0,0,131647,445,258,237,0,0,0,939,678,99,2,0,0,0,779,0,0,0,0,0,0,0,678,99,2,0,0,0,779
2018,MO,Albany City of MO,58012,25267,26959,0,0,0,110238,0,0,0,0,0,0,0,58012,25267,26959,0,0,0,110238,459,180,126,0,0,0,764,684,100,2,0,0,0,786,0,0,0,0,0,0,0,684,100,2,0,0,0,786
2017,MO,Albany City of MO,45037,19978,6157,0,0,0,71172,0,0,0,0,0,0,0,45037,19978,6157,0,0,0,71172,364,144,38,0,0,0,545,683,102,2,0,0,0,787,0,0,0,0,0,0,0,683,102,2,0,0,0,787
2021,KY,Alcan Ingot,0,0,0,0,0,0,0,0,0,1198264,0,0,0,1198264,0,0,1198264,0,0,0,1198264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2020,KY,Alcan Ingot,0,0,0,0,0,0,0,0,0,1126283,0,0,0,1126283,0,0,1126283,0,0,0,1126283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2019,KY,Alcan Ingot,0,0,0,0,0,0,0,0,0,1101707,0,0,0,1101707,0,0,1101707,0,0,0,1101707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2018,KY,Alcan Ingot,0,0,0,0,0,0,0,0,0,895258,0,0,0,895258,0,0,895258,0,0,0,895258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2017,KY,Alcan Ingot,0,0,0,0,0,0,0,0,0,889662,0,0,0,889662,0,0,889662,0,0,0,889662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2021,IL,"Aledo Gas Dept, City Of",113290,82068,6533,0,0,0,201891,0,0,0,0,0,0,0,113290,82068,6533,0,0,0,201891,1127,678,51,0,0,0,1857,1502,247,9,0,0,0,1758,0,0,0,0,0,0,0,1502,247,9,0,0,0,1758
2020,IL,"Aledo Gas Dept, City Of",117387,81880,6512,0,0,0,205779,0,0,0,0,0,0,0,117387,81880,6512,0,0,0,205779,938,516,40,0,0,0,1494,1502,247,9,0,0,0,1758,0,0,0,0,0,0,0,1502,247,9,0,0,0,1758
2019,IL,"Aledo Gas Dept, City Of",129331,86656,8110,0,0,0,224097,0,0,0,0,0,0,0,129331,86656,8110,0,0,0,224097,914,603,56,0,0,0,1573,1471,235,9,0,0,0,1715,0,0,0,0,0,0,0,1471,235,9,0,0,0,1715
2018,IL,"Aledo Gas Dept, City Of",126889,87573,10403,0,0,0,224865,0,0,0,0,0,0,0,126889,87573,10403,0,0,0,224865,892,609,72,0,0,0,1573,1476,231,8,0,0,0,1715,0,0,0,0,0,0,0,1476,231,8,0,0,0,1715
2017,IL,"Aledo Gas Dept, City Of",110664,79596,8907,0,0,0,199167,0,0,0,0,0,0,0,110664,79596,8907,0,0,0,199167,776,554,62,0,0,0,1391,1478,230,8,0,0,0,1716,0,0,0,0,0,0,0,1478,230,8,0,0,0,1716
2021,AL,Alexander City City of,86016,156454,0,0,0,0,242470,0,0,0,0,0,0,0,86016,156454,0,0,0,0,242470,1200,1706,0,0,0,0,2906,2503,505,0,0,0,0,3008,0,0,0,0,0,0,0,2503,505,0,0,0,0,3008
