Quarter,Pipeline,Total Daily Transportation (DTH),Monthly Est. Transportation Reservation Revenue ($),Total Storage (DTH),Monthly Estimated Storage Reservation Revenue ($),Average Contract Length (Months),Active Contracts
Q4 2018,MountainWest Overthrust Pipeline LLC,1747175,3075557,0,NA,78,20
Q4 2018,MountainWest Pipeline LLC,2004528,10541471,54486118,6791473,169,86
Q4 2018,National Fuel Gas Supply Corporation,3142586,6261334,68184641,2432488,98,165
Q4 2018,Natural Gas Pipeline Company of America LLC,9018475,15876373,230744075,NA,48,339
Q4 2018,Nautilus Pipeline Company L.L.C.,261073,1062109,0,NA,NA,52
Q4 2018,NGO Transmission Inc.,76773,NA,43260,NA,181,1
Q4 2018,North Baja Pipeline LLC,1072300,4287484,0,NA,176,16
Q4 2018,Northern Border Pipeline Company,4375587,NA,0,NA,106,139
Q4 2018,Northern Natural Gas Company,29610907,22649708,115933940,58448566,92,1329
Q4 2018,Northwest Pipeline LLC,5000321,36129383,8836002,NA,247,204
Q4 2018,OkTex Pipeline Company L.L.C.,95552,18145325,0,NA,107,6
Q4 2018,Ozark Gas Transmission L.L.C.,136580,1083079,0,NA,83,10
Q4 2018,Paiute Pipeline Company,206121,NA,949872,NA,119,29
Q4 2018,Panhandle Eastern Pipe Line Company LP,3491770,22696187,41975053,468134,204,226
Q4 2018,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q4 2018,Pine Prairie Energy Center LLC,0,NA,50557000,NA,43,26
Q4 2018,Portland Natural Gas Transmission System LP,160240,4163725,0,NA,62,12
Q4 2018,Rockies Express Pipeline LLC,5099056,115078650,0,NA,92,60
Q4 2018,Rover Pipeline LLC,3200000,9945973,0,NA,165,11
Q4 2018,Ruby Pipeline LLC,1130000,39078338,0,NA,121,15
Q4 2018,Sabal Trail Transmission LLC,720000,37341744,0,NA,211,3
Q4 2018,Saltville Gas Storage Company LLC,0,NA,5262010,529727,62,43
Q4 2018,Sea Robin Pipeline Company LLC,27765,113695,0,NA,134,4
Q4 2018,SG Resources Mississippi LLC,0,NA,18000000,NA,48,12
Q4 2018,Sierrita Gas Pipeline LLC,200846,2992786,0,NA,261,1
Q4 2018,Southeast Supply Header LLC.,1035000,2305100,0,NA,146,9
Q4 2018,Southern Natural Gas Company L.L.C.,4182487,24268242,53092011,1364467,202,565
Q4 2018,Southern Star Central Gas Pipeline Inc.,3868044,12251857,44386984,250146,175,301
Q4 2018,Southwest Gas Storage Company,0,NA,57117890,NA,263,1
Q4 2018,Spire Storage West LLC,0,NA,21072044,NA,10,36
Q4 2018,Stagecoach Pipeline and Storage Company LLC,1716772,NA,20366700,NA,51,44
Q4 2018,Steckman Ridge LP,0,NA,7200000,NA,47,7
Q4 2018,Stingray Pipeline Company L.L.C.,15635,363516,0,NA,NA,19
Q4 2018,Tallgrass Interstate Gas Transmission LLC,728936,5829430,10035531,7450,165,77
Q4 2018,Tennessee Gas Pipeline Company L.L.C.,12270483,32849619,78406550,1244787,239,654
Q4 2018,Texas Eastern Transmission LP,13930328,18606863,71992173,354148201,111,516
Q4 2018,Texas Gas Transmission LLC,5905930,19656807,52407162,28260076,110,234
Q4 2018,Trailblazer Pipeline Company LLC,880000,6194352,0,NA,154,54
Q4 2018,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q4 2018,TransColorado Gas Transmission Company LLC,423550,3947232,0,NA,31,16
Q4 2018,Transcontinental Gas Pipe Line Company LLC,14648608,60879273,190804280,4611249,168,602
Q4 2018,Transwestern Pipeline Company LLC,2041427,10857728,0,NA,47,82
Q4 2018,Tres Palacios Gas Storage LLC,0,NA,32550558,NA,10,33
Q4 2018,Trunkline Gas Company LLC,3978147,8684646,4194945,12492830,93,115
Q4 2018,Tuscarora Gas Transmission Company,229034,1915068,0,NA,204,23
Q4 2018,UGI LNG Inc,10000,NA,10000,NA,97,1
Q4 2018,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q4 2018,UGI Storage Company,0,NA,87997,NA,19,6
Q4 2018,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q4 2018,USG Pipeline Company LLC,9200,NA,0,NA,132,2
Q4 2018,Vector Pipeline L.P.,2546399,10543908,0,NA,157,40
Q4 2018,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q4 2018,Viking Gas Transmission Company,554537,2471397,0,NA,158,90
Q4 2018,WBI Energy Transmission Inc.,1344937,2141304,14220857,249860,85,60
Q4 2018,White River Hub LLC,2540000,931824,0,NA,151,5
Q4 2018,Wyoming Interstate Company L.L.C.,4019211,53341407,0,NA,86,60
Q4 2018,Young Gas Storage Company Ltd.,0,NA,6363263,20123183,343,2
Q3 2018,Algonquin Gas Transmission LLC,4891792,33501177,0,NA,84,158
Q3 2018,Alliance Pipeline L.P.,1709596,18378171,0,NA,46,71
Q3 2018,ANR Pipeline Company,6811736,44583456,168986358,NA,119,639
Q3 2018,ANR Storage Company,0,NA,57240360,NA,70,19
Q3 2018,Arlington Storage Company LLC,0,NA,13379000,NA,48,14
Q3 2018,BBT (AlaTenn) LLC,102875,202917,0,NA,89,22
Q3 2018,Big Sandy Pipeline LLC,153021,2643041,0,NA,110,8
Q3 2018,Blue Lake Gas Storage Company,0,NA,48000000,30686400,83,5
Q3 2018,Bluewater Gas Storage LLC,0,NA,25998012,NA,49,36
Q3 2018,Boardwalk Storage Co LLC,0,NA,6600000,NA,29,8
Q3 2018,Bobcat Storage,0,NA,11392200,NA,41,13
Q3 2018,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q3 2018,Caledonia Energy Partners LLC,0,NA,6300000,NA,29,5
Q3 2018,Cameron Interstate Pipeline LLC,850080,1113435,0,NA,31,2
Q3 2018,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q3 2018,Cheniere Creole Trail Pipeline L.P.,1530000,2268327,0,NA,239,1
Q3 2018,Cheyenne Plains Gas Pipeline Company LLC,705840,5141974,0,NA,57,25
Q3 2018,Cimarron River Pipeline LLC,364487,NA,0,NA,120,4
Q3 2018,Colorado Interstate Gas Company L.L.C.,4624938,13555957,41129186,82764518,174,133
Q3 2018,Columbia Gas Transmission LLC,11377396,64792086,253768754,NA,148,741
Q3 2018,Columbia Gulf Transmission LLC,4648792,18619133,0,NA,141,92
Q3 2018,Crossroads Pipeline Company,54075,177312,0,NA,77,6
Q3 2018,Dauphin Island Gathering Partners,50168,NA,0,NA,3,17
Q3 2018,Discovery Gas Transmission LLC,650887,NA,0,NA,2,49
Q3 2018,Dominion Energy Carolina Gas Transmission LLC,835542,3414382,0,NA,79,78
Q3 2018,Dominion Energy Cove Point LNG LP,2771999,29447955,7822500,NA,243,26
Q3 2018,East Cheyenne Gas Storage LLC,0,NA,28061697,NA,8,113
Q3 2018,East Tennessee Natural Gas LLC,1891088,23178114,1090043,NA,104,186
Q3 2018,Eastern Gas Transmission and Storage Inc,8622130,26791418,306067896,2151504,186,425
Q3 2018,Egan Hub Storage LLC,0,NA,17800000,NA,45,17
Q3 2018,El Paso Natural Gas Company L.L.C.,6325044,52132674,0,NA,106,206
Q3 2018,Elba Express Company L.L.C.,1798157,6568059,0,NA,150,20
Q3 2018,Empire Pipeline Inc.,932601,4515979,3753090,142993,79,17
Q3 2018,Enable Gas Transmission LLC,4161690,42618588,22920017,NA,70,752
Q3 2018,Equitrans L.P.,3780815,26447685,27772669,618367,145,52
Q3 2018,ETC Tiger Pipeline LLC,1950000,6878625,0,NA,119,8
Q3 2018,Florida Gas Transmission Company LLC,3830640,32294643,0,NA,255,169
Q3 2018,Florida Southeast Connection LLC,400000,NA,0,NA,299,1
Q3 2018,Freebird Gas Storage LLC,0,NA,4000000,NA,18,2
Q3 2018,Garden Banks Gas Pipeline LLC,189080,NA,0,NA,2,14
Q3 2018,Gas Transmission Northwest LLC,2720259,NA,0,NA,172,123
Q3 2018,Golden Triangle Storage Inc,165000,NA,12500000,NA,24,15
Q3 2018,Granite State Gas Transmission Inc.,104200,14148,0,NA,11,5
Q3 2018,Great Lakes Gas Transmission Limited Partnership,2176830,19988431,0,NA,80,77
Q3 2018,Guardian Pipeline L.L.C.,2469091,7152717,0,NA,145,20
Q3 2018,Gulf South Pipeline Company LP,6272107,43507626,58920000,NA,84,281
Q3 2018,Gulfstream Natural Gas System L.L.C.,1310000,NA,0,NA,223,17
Q3 2018,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q3 2018,Iroquois Gas Transmission System L.P.,1459040,11106739,0,NA,147,64
Q3 2018,Kern River Gas Transmission Company,3538037,34167476,0,NA,76,112
Q3 2018,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q3 2018,KPC Pipeline LLC,109754,718506,0,NA,43,10
Q3 2018,Maritimes & Northeast Pipeline L.L.C.,1070317,12487761,0,NA,179,9
Q3 2018,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q3 2018,Midwestern Gas Transmission Company,1442073,3065272,0,NA,135,58
Q3 2018,MIGC LLC,58081,775771,0,NA,63,9
Q3 2018,Millennium Pipeline Company LLC,2162826,38353490,0,NA,83,40
Q3 2018,Mississippi Canyon Gas Pipeline LLC,185040,348429,0,NA,NA,17
Q3 2018,Mississippi Hub LLC,0,NA,11500000,NA,29,8
Q3 2018,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,178,3
Q3 2018,MountainWest Overthrust Pipeline LLC,1686175,2943553,0,NA,85,18
Q3 2018,MountainWest Pipeline LLC,1976528,10393407,54486118,6791473,174,83
Q3 2018,National Fuel Gas Supply Corporation,3202687,6251256,68835641,2456315,97,167
Q3 2018,Natural Gas Pipeline Company of America LLC,8510135,13860998,224619050,NA,50,318
Q3 2018,Nautilus Pipeline Company L.L.C.,249088,1003893,0,NA,NA,49
Q3 2018,NGO Transmission Inc.,76773,NA,43260,NA,181,1
Q3 2018,North Baja Pipeline LLC,1072300,4287484,0,NA,187,15
Q3 2018,Northern Border Pipeline Company,4515024,NA,0,NA,100,148
Q3 2018,Northern Natural Gas Company,21362329,19582681,116084393,57872243,90,1350
Q3 2018,Northwest Pipeline LLC,4989121,36238929,8836002,NA,248,203
Q3 2018,OkTex Pipeline Company L.L.C.,95552,18145325,0,NA,107,6
Q3 2018,Ozark Gas Transmission L.L.C.,151580,1202029,0,NA,83,10
Q3 2018,Paiute Pipeline Company,206121,NA,949872,NA,119,29
Q3 2018,Panhandle Eastern Pipe Line Company LP,3384843,21905092,41975053,468134,205,224
Q3 2018,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q3 2018,Pine Prairie Energy Center LLC,0,NA,51228500,NA,40,29
Q3 2018,Portland Natural Gas Transmission System LP,266840,6933653,0,NA,130,18
Q3 2018,Rockies Express Pipeline LLC,5025256,113417673,0,NA,87,63
Q3 2018,Rover Pipeline LLC,2475000,709060,0,NA,198,7
Q3 2018,Ruby Pipeline LLC,1110000,38386686,0,NA,130,14
Q3 2018,Sabal Trail Transmission LLC,720000,37341744,0,NA,213,3
Q3 2018,Saltville Gas Storage Company LLC,0,NA,5262010,566722,61,44
Q3 2018,Sea Robin Pipeline Company LLC,70857,290153,0,NA,134,4
Q3 2018,SG Resources Mississippi LLC,0,NA,18500000,NA,48,12
Q3 2018,Sierrita Gas Pipeline LLC,200846,2992786,0,NA,261,1
Q3 2018,Southeast Supply Header LLC.,1085000,2305100,0,NA,144,10
Q3 2018,Southern Natural Gas Company L.L.C.,3938909,23138188,53092004,1380392,194,564
Q3 2018,Southern Star Central Gas Pipeline Inc.,3879748,12320627,44425693,250146,180,296
Q3 2018,Southwest Gas Storage Company,0,NA,57117890,NA,251,1
Q3 2018,Spire Storage West LLC,0,NA,29213779,NA,12,36
Q3 2018,Stagecoach Pipeline and Storage Company LLC,1716772,NA,20359200,NA,49,44
Q3 2018,Steckman Ridge LP,0,NA,7200000,NA,49,7
Q3 2018,Stingray Pipeline Company L.L.C.,17573,408574,0,NA,NA,19
Q3 2018,Tallgrass Interstate Gas Transmission LLC,686434,5488255,10035531,7450,174,73
Q3 2018,Tennessee Gas Pipeline Company L.L.C.,11691761,32798971,78406550,1244787,239,651
Q3 2018,Texas Eastern Transmission LP,13836494,17559212,71992173,353267893,111,511
Q3 2018,Texas Gas Transmission LLC,5372593,19656807,52407162,28260076,110,234
Q3 2018,Trailblazer Pipeline Company LLC,874000,6142704,0,NA,153,53
Q3 2018,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q3 2018,TransColorado Gas Transmission Company LLC,316250,2947260,0,NA,37,12
Q3 2018,Transcontinental Gas Pipe Line Company LLC,14658871,60653500,190804280,4670146,168,601
Q3 2018,Transwestern Pipeline Company LLC,2118127,11784008,0,NA,334,82
Q3 2018,Tres Palacios Gas Storage LLC,0,NA,30392082,NA,8,37
Q3 2018,Trunkline Gas Company LLC,3936630,8590294,4194945,12492830,93,114
Q3 2018,Tuscarora Gas Transmission Company,229034,1915068,0,NA,204,23
Q3 2018,UGI LNG Inc,10000,NA,10000,NA,97,1
Q3 2018,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q3 2018,UGI Storage Company,0,NA,87997,NA,19,6
Q3 2018,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q3 2018,USG Pipeline Company LLC,9200,NA,0,NA,132,2
Q3 2018,Vector Pipeline L.P.,2541236,10484195,0,NA,148,43
Q3 2018,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q3 2018,Viking Gas Transmission Company,562537,2551822,0,NA,158,90
Q3 2018,WBI Energy Transmission Inc.,1181449,2141304,14220857,249860,84,58
Q3 2018,White River Hub LLC,2540000,931824,0,NA,151,5
Q3 2018,Wyoming Interstate Company L.L.C.,3856211,50911777,0,NA,92,57
Q3 2018,Young Gas Storage Company Ltd.,0,NA,6363263,20123183,343,2
Q2 2018,Algonquin Gas Transmission LLC,5251793,34208317,0,NA,84,158
Q2 2018,Alliance Pipeline L.P.,1665706,17906353,0,NA,47,69
Q2 2018,ANR Pipeline Company,6688550,44860505,168986358,NA,118,635
Q2 2018,ANR Storage Company,0,NA,57240360,NA,66,19
Q2 2018,Arlington Storage Company LLC,0,NA,11854000,NA,38,9
Q2 2018,BBT (AlaTenn) LLC,102875,202917,0,NA,88,22
Q2 2018,Big Sandy Pipeline LLC,163821,2829584,0,NA,88,11
Q2 2018,Blue Lake Gas Storage Company,0,NA,48000000,30686400,83,5
Q2 2018,Bluewater Gas Storage LLC,0,NA,28749279,NA,54,32
Q2 2018,Boardwalk Storage Co LLC,0,NA,6600000,NA,29,8
Q2 2018,Bobcat Storage,0,NA,8892200,NA,46,11
Q2 2018,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q2 2018,Caledonia Energy Partners LLC,0,NA,6300000,NA,29,5
Q2 2018,Cameron Interstate Pipeline LLC,850080,1113435,0,NA,31,2
Q2 2018,Chandeleur Pipe Line LLC,25000,301510,0,NA,26,1
Q2 2018,Cheniere Creole Trail Pipeline L.P.,1530000,2268327,0,NA,239,1
Q2 2018,Cheyenne Plains Gas Pipeline Company LLC,528340,3244073,0,NA,76,17
Q2 2018,Cimarron River Pipeline LLC,364487,NA,0,NA,120,4
Q2 2018,Colorado Interstate Gas Company L.L.C.,4577423,13192402,41129186,82764518,175,131
Q2 2018,Columbia Gas Transmission LLC,11235560,63364415,253514770,NA,149,730
Q2 2018,Columbia Gulf Transmission LLC,3989445,15907239,0,NA,141,88
Q2 2018,Crossroads Pipeline Company,54075,177312,0,NA,85,6
Q2 2018,Dauphin Island Gathering Partners,50421,NA,0,NA,3,17
Q2 2018,Discovery Gas Transmission LLC,636922,NA,0,NA,3,44
Q2 2018,Dominion Energy Carolina Gas Transmission LLC,881173,3835732,0,NA,80,77
Q2 2018,Dominion Energy Cove Point LNG LP,1911999,18126915,7822500,NA,242,24
Q2 2018,East Tennessee Natural Gas LLC,1891088,23178114,1090043,NA,104,186
Q2 2018,Eastern Gas Transmission and Storage Inc,8647452,26674445,306067896,2151504,188,422
Q2 2018,Egan Hub Storage LLC,0,NA,16050000,NA,50,15
Q2 2018,El Paso Natural Gas Company L.L.C.,6225537,54859651,0,NA,106,206
Q2 2018,Elba Express Company L.L.C.,1798157,6568059,0,NA,150,20
Q2 2018,Empire Pipeline Inc.,932601,4515979,3753090,142993,66,17
Q2 2018,Enable Gas Transmission LLC,3990932,42560978,22920017,NA,71,746
Q2 2018,Equitrans L.P.,3643290,22890593,27772669,618367,152,49
Q2 2018,ETC Tiger Pipeline LLC,1930000,6666975,0,NA,136,7
Q2 2018,Florida Gas Transmission Company LLC,3743376,33025551,0,NA,256,167
Q2 2018,Florida Southeast Connection LLC,400000,NA,0,NA,299,1
Q2 2018,Freebird Gas Storage LLC,0,NA,4000000,NA,18,2
Q2 2018,Garden Banks Gas Pipeline LLC,187265,NA,0,NA,2,14
Q2 2018,Gas Transmission Northwest LLC,2785909,NA,0,NA,175,121
Q2 2018,Golden Triangle Storage Inc,165000,NA,9500000,NA,28,11
Q2 2018,Granite State Gas Transmission Inc.,135729,13392,0,NA,11,6
Q2 2018,Great Lakes Gas Transmission Limited Partnership,2051602,18298084,0,NA,76,72
Q2 2018,Guardian Pipeline L.L.C.,2469091,7152717,0,NA,144,20
Q2 2018,Gulf South Pipeline Company LP,6248751,43925238,58920000,NA,85,281
Q2 2018,Gulfstream Natural Gas System L.L.C.,1310000,NA,0,NA,223,17
Q2 2018,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q2 2018,Iroquois Gas Transmission System L.P.,1559162,11687946,0,NA,135,69
Q2 2018,Kern River Gas Transmission Company,3410105,31619607,0,NA,113,92
Q2 2018,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q2 2018,KPC Pipeline LLC,109754,718506,0,NA,43,10
Q2 2018,Maritimes & Northeast Pipeline L.L.C.,1070317,12487761,0,NA,179,9
Q2 2018,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q2 2018,Midwestern Gas Transmission Company,1422173,3024278,0,NA,135,57
Q2 2018,MIGC LLC,52542,680417,0,NA,59,8
Q2 2018,Millennium Pipeline Company LLC,2079926,37364641,0,NA,79,45
Q2 2018,Mississippi Canyon Gas Pipeline LLC,134890,336727,0,NA,NA,15
Q2 2018,Mississippi Hub LLC,0,NA,10750000,NA,31,7
Q2 2018,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,178,3
Q2 2018,MountainWest Overthrust Pipeline LLC,1676175,2921913,0,NA,89,17
Q2 2018,MountainWest Pipeline LLC,1983828,10352689,54486118,6791473,163,88
Q2 2018,National Fuel Gas Supply Corporation,3119014,6097702,64939841,2313729,101,157
Q2 2018,Natural Gas Pipeline Company of America LLC,8337547,13160755,216618950,NA,50,306
Q2 2018,Nautilus Pipeline Company L.L.C.,257598,1095824,0,NA,NA,49
Q2 2018,NGO Transmission Inc.,76773,NA,43260,NA,181,1
Q2 2018,North Baja Pipeline LLC,909890,3638104,0,NA,187,15
Q2 2018,Northern Border Pipeline Company,4589922,NA,0,NA,108,130
Q2 2018,Northern Natural Gas Company,19705986,20725163,144059085,73977564,93,1306
Q2 2018,Northwest Pipeline LLC,4981121,36144624,8836002,NA,247,203
Q2 2018,OkTex Pipeline Company L.L.C.,45552,8650325,0,NA,125,5
Q2 2018,Ozark Gas Transmission L.L.C.,136580,1083079,0,NA,83,10
Q2 2018,Paiute Pipeline Company,206121,NA,949872,NA,119,29
Q2 2018,Panhandle Eastern Pipe Line Company LP,3622000,22890308,41975053,468134,199,227
Q2 2018,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q2 2018,Pine Prairie Energy Center LLC,0,NA,54416000,NA,26,49
Q2 2018,Portland Natural Gas Transmission System LP,279140,7253260,12,NA,116,20
Q2 2018,Rockies Express Pipeline LLC,5173300,116913285,0,NA,92,61
Q2 2018,Rover Pipeline LLC,1795000,3109760,0,NA,197,4
Q2 2018,Ruby Pipeline LLC,1097200,37944028,0,NA,121,15
Q2 2018,Sabal Trail Transmission LLC,700000,36198630,0,NA,319,2
Q2 2018,Saltville Gas Storage Company LLC,0,NA,5262010,566722,61,44
Q2 2018,Sea Robin Pipeline Company LLC,20610,84396,0,NA,134,4
Q2 2018,SG Resources Mississippi LLC,0,NA,20250000,NA,68,11
Q2 2018,Sierrita Gas Pipeline LLC,200846,2992786,0,NA,261,1
Q2 2018,Southeast Supply Header LLC.,1085000,2305100,0,NA,144,10
Q2 2018,Southern Natural Gas Company L.L.C.,3869210,22398432,53092004,1380392,159,567
Q2 2018,Southern Star Central Gas Pipeline Inc.,3872975,12266669,44425693,250146,180,295
Q2 2018,Southwest Gas Storage Company,0,NA,57117890,NA,251,1
Q2 2018,Stagecoach Pipeline and Storage Company LLC,1691772,NA,20359200,NA,50,44
Q2 2018,Steckman Ridge LP,0,NA,7250000,NA,55,6
Q2 2018,Stingray Pipeline Company L.L.C.,20923,486462,0,NA,NA,20
Q2 2018,Tallgrass Interstate Gas Transmission LLC,689117,5498068,10335531,7450,172,73
Q2 2018,Tennessee Gas Pipeline Company L.L.C.,11480057,30792484,78406550,1244787,243,639
Q2 2018,Texas Eastern Transmission LP,13796705,17682862,71992173,353267893,115,507
Q2 2018,Texas Gas Transmission LLC,5789380,19669659,52407162,28260076,108,234
Q2 2018,Trailblazer Pipeline Company LLC,945000,6732352,0,NA,145,56
Q2 2018,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q2 2018,TransColorado Gas Transmission Company LLC,365550,3406707,0,NA,31,14
Q2 2018,Transcontinental Gas Pipe Line Company LLC,14529871,61035244,190804280,4670146,169,602
Q2 2018,Transwestern Pipeline Company LLC,2004527,10163288,0,NA,193,81
Q2 2018,Tres Palacios Gas Storage LLC,0,NA,29986114,NA,14,23
Q2 2018,Trunkline Gas Company LLC,4096647,9018530,4194945,12492830,91,116
Q2 2018,Tuscarora Gas Transmission Company,230584,1928028,0,NA,206,24
Q2 2018,UGI LNG Inc,10000,NA,10000,NA,97,1
Q2 2018,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q2 2018,UGI Storage Company,0,NA,87997,NA,19,6
Q2 2018,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q2 2018,USG Pipeline Company LLC,9200,NA,0,NA,132,2
Q2 2018,Vector Pipeline L.P.,2577851,10788432,0,NA,144,44
Q2 2018,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q2 2018,Viking Gas Transmission Company,532537,2353492,0,NA,161,88
Q2 2018,WBI Energy Transmission Inc.,1181449,6106210,14220857,249860,84,58
Q2 2018,White River Hub LLC,2540000,931824,0,NA,151,5
Q2 2018,Wyoming Interstate Company L.L.C.,3800211,51101824,0,NA,98,53
Q2 2018,Young Gas Storage Company Ltd.,0,NA,6363263,20123183,343,2
Q1 2018,Algonquin Gas Transmission LLC,5334528,34752168,0,NA,83,160
Q1 2018,Alliance Pipeline L.P.,1838490,19763781,0,NA,42,79
Q1 2018,ANR Pipeline Company,9616746,64307643,191645738,NA,112,690
Q1 2018,ANR Storage Company,0,NA,57240960,NA,54,20
Q1 2018,Arlington Storage Company LLC,0,NA,11905000,NA,44,9
Q1 2018,BBT (AlaTenn) LLC,135575,396341,0,NA,84,23
Q1 2018,Big Sandy Pipeline LLC,163821,2829584,0,NA,88,11
Q1 2018,Blue Lake Gas Storage Company,0,NA,48000000,30686400,95,4
Q1 2018,Bluewater Gas Storage LLC,0,NA,28487910,NA,27,34
Q1 2018,Boardwalk Storage Co LLC,0,NA,6250000,NA,19,10
Q1 2018,Bobcat Storage,0,NA,15642200,NA,38,14
Q1 2018,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q1 2018,Caledonia Energy Partners LLC,0,NA,5300000,NA,33,4
Q1 2018,Cameron Interstate Pipeline LLC,930000,1218114,0,NA,31,2
Q1 2018,Chandeleur Pipe Line LLC,25000,301510,0,NA,26,1
Q1 2018,Cheniere Creole Trail Pipeline L.P.,1530000,2268327,0,NA,239,1
Q1 2018,Cheyenne Plains Gas Pipeline Company LLC,669540,4058833,0,NA,72,18
Q1 2018,Cimarron River Pipeline LLC,364487,NA,0,NA,120,4
Q1 2018,Colorado Interstate Gas Company L.L.C.,4616507,13696340,41129186,82764518,175,133
Q1 2018,Columbia Gas Transmission LLC,13344882,76860297,255514770,NA,150,755
Q1 2018,Columbia Gulf Transmission LLC,3994525,15917851,0,NA,139,90
Q1 2018,Crossroads Pipeline Company,64100,210184,0,NA,66,8
Q1 2018,Dauphin Island Gathering Partners,50421,NA,0,NA,3,17
Q1 2018,Discovery Gas Transmission LLC,671300,NA,0,NA,3,44
Q1 2018,Dominion Energy Carolina Gas Transmission LLC,819673,3316751,0,NA,66,70
Q1 2018,Dominion Energy Cove Point LNG LP,2711999,28681365,7822500,NA,233,25
Q1 2018,East Tennessee Natural Gas LLC,2141496,43131555,1090043,NA,104,188
Q1 2018,Eastern Gas Transmission and Storage Inc,8575409,26075029,308067896,2180504,186,425
Q1 2018,Egan Hub Storage LLC,0,NA,21400000,NA,44,20
Q1 2018,El Paso Natural Gas Company L.L.C.,6632030,49277251,0,NA,116,186
Q1 2018,Elba Express Company L.L.C.,1798157,6568059,0,NA,150,20
Q1 2018,Empire Pipeline Inc.,932601,4911737,3753090,142993,66,17
Q1 2018,Enable Gas Transmission LLC,4282026,43605515,22920017,NA,68,767
Q1 2018,Equitrans L.P.,4341226,26504867,28472669,618367,136,55
Q1 2018,ETC Tiger Pipeline LLC,1930000,6666975,0,NA,136,7
Q1 2018,Florida Gas Transmission Company LLC,3726218,35692042,0,NA,248,171
Q1 2018,Florida Southeast Connection LLC,400000,NA,0,NA,299,1
Q1 2018,Freebird Gas Storage LLC,0,NA,2000000,NA,24,1
Q1 2018,Garden Banks Gas Pipeline LLC,195662,NA,0,NA,2,14
Q1 2018,Gas Transmission Northwest LLC,2429376,NA,0,NA,189,108
Q1 2018,Golden Triangle Storage Inc,165000,NA,11500000,NA,23,14
Q1 2018,Granite State Gas Transmission Inc.,135729,13392,0,NA,11,6
Q1 2018,Great Lakes Gas Transmission Limited Partnership,3726658,29346224,0,NA,65,89
Q1 2018,Guardian Pipeline L.L.C.,2621311,7409815,0,NA,120,24
Q1 2018,Gulf South Pipeline Company LP,5598293,34881318,54450000,NA,92,259
Q1 2018,Gulfstream Natural Gas System L.L.C.,1292000,NA,0,NA,223,17
Q1 2018,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q1 2018,Iroquois Gas Transmission System L.P.,1678162,12667043,0,NA,113,83
Q1 2018,Kern River Gas Transmission Company,3699337,34904972,0,NA,107,98
Q1 2018,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q1 2018,KPC Pipeline LLC,109754,718506,0,NA,40,10
Q1 2018,Maritimes & Northeast Pipeline L.L.C.,1070317,12487761,0,NA,161,10
Q1 2018,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q1 2018,Midwestern Gas Transmission Company,1562173,3312678,0,NA,128,60
Q1 2018,MIGC LLC,52542,680417,0,NA,59,8
Q1 2018,Millennium Pipeline Company LLC,2154926,38359816,0,NA,77,46
Q1 2018,Mississippi Canyon Gas Pipeline LLC,136657,338285,0,NA,NA,15
Q1 2018,Mississippi Hub LLC,0,NA,13250000,NA,36,9
Q1 2018,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,178,3
Q1 2018,MountainWest Overthrust Pipeline LLC,1887455,3379123,0,NA,66,23
Q1 2018,MountainWest Pipeline LLC,2463163,11596093,53314618,6763615,156,93
Q1 2018,National Fuel Gas Supply Corporation,3117198,6336749,64288841,2289902,102,157
Q1 2018,Natural Gas Pipeline Company of America LLC,8469110,12174322,239786225,NA,48,318
