Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Columbia Gas Transmission, LLC",07/01/2018,NTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,45.03000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.43140,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 30 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 30 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 30 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 30 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,20.81000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 30 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.18920,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 60 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 60 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 60 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 60 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,19.08000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,OPT 60 Day,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.17190,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,PAL,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,PAL,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,19.39000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,PAL,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,13.27000,�/Dth     ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SIT,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SIT,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,4.11000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SST,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SST,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.87000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SST,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SST,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,22.02000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,SST,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.20150,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,TPS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,TPS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,TPS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,TPS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,22.56000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,TPS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.20670,$/Dth/day ,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.01090,$/Dth     ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Fuel,0.26000,%         ,Zone Surcharge,Onshore
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Overrun,0.14800,$/Dth     ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Reservation,0.13710,$/Dth/day ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-CAP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-CAP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.01090,$/Dth     ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-CAP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Overrun,0.18190,$/Dth     ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-CAP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Reservation,0.17100,$/Dth/day ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-GXP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-GXP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Commodity,0.05500,$/Dth     ,Zone Surcharge,Market
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-GXP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Fuel,0.26000,%         ,Zone Surcharge,Onshore
"Columbia Gulf Transmission, LLC",07/01/2018,FTS-1-GXP,M/L Pool - Meico Denver | P2029730,ON,M/L Pool - Meico Denver | P2029730,ON,Overrun,0.39220,$/Dth     ,Zone Surcharge,Market
